question,prediction
animal What animals do you find in the stock market ?,what
def What is color ?,what
date When is the site www.questions.com going to open ?,when
cremat What did Shostakovich write for Rostropovich ?,what
ind What first name was Nipsy Russell given at birth ?,what
manner How can I get some free technical information on Electric Vehicle ?,unknown
ind Who is the youngest of the Beatles ?,who
manner How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?,unknown
def What is a Jellicle Cat ?,what
other Where can I find the best free evidence for debate about Russia ?,unknown
other What is Bill Gates of Microsoft E-mail address ?,what
substance What is the second hardest substance ?,what
reason Why did several San Diego schools stop serving apples to students ?,unknown
city What Russian city boasts the Hermitage Museum ?,what
date When is Bastille Day ?,when
reason What makes a tornado turn ?,what
count How many shots can a stock M16 hold ?,unknown
color What two colors are you blind to if you suffer from protanopia ?,what
reason Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?,unknown
desc Who is Coronado ?,who
cremat What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?,what
def What is artificial intelligence ?,what
food What do flatfish eat ?,what
ind Who was the first Holy Roman Emperor ?,who
other What can I use to remove the stubborn gummed labels from some diskettes ?,what
date What day of the week sees the most fatal car accidents ?,what
"desc What is the origin of the word , magic ?",what
sport What sport do you shag flies in ?,what
def What is white chocolate ?,what
other Where is Trinidad ?,unknown
gr Name the organization that is presided by a Security Council .,what
"ind Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?",who
food What kind of wine is Spumante ?,what
ind Who portrayed portly criminologist Carl Hyatt on Checkmate ?,who
termeq How do you say I love you in Spanish ?,unknown
def What does the name Gina mean ?,what
product What is the most advanced handheld calculator in the world ?,what
speed How fast is light ?,unknown
termeq What is the belt of low pressure around the equator called ?,what
def What are shooting stars ?,what
gr Whom did the Chicago Bulls beat in the 1993 championship ?,unknown
date When was the first American encyclopedia published ?,when
other What 's the tallest building in New York City ?,what
manner How is Easter Sunday 's date determined ?,unknown
desc What is the Motto for the State of Maryland ?,what
desc Who is Desmond Tutu ?,who
other Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?,unknown
animal Name a tiger that is extinct .,unknown
count How many quarters equal a pound ?,unknown
cremat What kind of books does Fodor 's publish ?,what
"ind What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?",what
ord What chapter of the Bible has the most verses ?,what
ind Who is the worst US President ever ?,who
ind What Asian leader was known as The Little Brown Saint ?,what
abb What is the abbreviated expression for the National Bureau of Investigation ?,what
speed How fast does the fastest car go ?,unknown
mount What is the highest mountain in the world ?,what
other What arch can you see from the Place de la Concorde ?,what
ind Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?,who
period How long should a person wash their hands before they are clean ?,unknown
other Which way do you turn your Bic to increase the flame - clockwise or counterclockwise ?,unknown
country Which is the wealthiest country in the world ?,unknown
manner How can I find a phone number of someone if I only know their email address ?,unknown
manner How can you contact play producers and promoters on-line ?,unknown
ind Who is the monarch of the United Kingdom ?,who
dismed What is a fear of passing high objects ?,what
desc What do players try to do when the music stops in a game of musical chairs ?,what
ind What are the top ten most common girl names in the US ?,what
reason Why is black the color of mourning in the West ?,unknown
other What is the rarest coin ?,what
cremat What Judith Rossner novel was made into a film starring Diane Keaton ?,what
country Which country is Australia 's largest export market ?,unknown
other Where is the Kentucky Horse Park located ?,unknown
dismed What is a fear of parasites ?,what
sport In what Olympic Games did Nadia Comaneci become popular ?,what
ind Who does data collection in tourism ?,who
ind What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?,what
state What is the leading pecan and peanut growing state ?,what
desc What does a nihilist believe in ?,what
desc What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?,unknown
sport In what sport are these following numbers relevant ,what
ind Who were the four famous founders of United Artists ?,who
cremat What 2 statues did France give to other countries ?,what
def What are amphibians ?,what
count How many sperm cells are in an average ejaculation ?,unknown
product Name the disposable razor that `` costs about 19 cents . '',unknown
dist How far do you have to run if you hit a home run ?,unknown
ind Who was the only U.S. President to wear a Nazi uniform ?,who
gr Woodrow Wilson served as president of what university ?,what
other Where are the tropical rain forest distributions ?,unknown
ind What 's the nickname of oddsmaker Jimmy Snyder ?,what
dismed What is the fear of being loved ?,what
other What was the number of people that Randy Steven Craft was convicted of killing ?,what
title What was Queen Victoria 's title regarding India ?,what
manner How is a hydrogen bomb different from a nuclear bomb ?,unknown
dist How far can a man travel in outer space ?,unknown
other Where was Lincoln assassinated ?,unknown
food What type of food makes you fat ?,what
dismed What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?,what
count What was the U.S. highway death toll in 1969 ?,what
"animal What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?",what
cremat What are the shortest and the longest songs ever produced ?,what
letter What letter is to the right of K on a typewriter keyboard ?,what
"desc What is the origin and the meaning of the name , `` Hajo ? ''",what
word What is the plural of gulf ?,what
ind Whose autobiography is titled Yes I Can ?,unknown
date What year did the United States pass the Copyright law ?,what
perc What percentage of Americans own their homes ?,what
date What 's the first day of the week ?,what
city What city was President William McKinley shot in ?,what
city What city has the world 's longest subway system ?,what
"ind Who claimed he killed 4 , 280 buffalo as food for the crew building the Kansas Pacific Railway ?",who
def What is Bombay duck ?,what
count How many degrees cooler is the inside of a cucumber than the air outside ?,unknown
ind What double talking `` professor '' holds a doctorate in Nothing ?,what
city What are the five most expensive cities in the world ?,what
ind What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?,what
count How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?,unknown
def What is a virtual IP address ?,what
ind What was the name of the cook on Rawhide ?,what
other What county is Chicago in ?,what
dist What is the wingspan of a condor ?,what
desc What facial feature typically contains about 55 hairs ?,what
"ind Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover , and also granted 10-?? of all profits of his voyage .",who
manner How can I transport files from one computer to another ?,unknown
termeq What 's the literary term for a play on words ?,what
color What color were their horses ?,what
money What does an average daycare provider get paid in New England ?,what
ind What author landed a 468-pound marlin without harness in the early 193 's ?,what
count How many Americans fought for the British in the American Revolution ?,unknown
other What kind of education do I need to become a flight attendant ?,what
lang What are the two languages of Malta ?,what
count How many oceans are there and name them ?,unknown
desc What happened during the Blackhawk Indian war of 1832 ?,what
count How many pairs of legs does a lobster have ?,unknown
def What does the Latin ante mortem mean ?,what
def What does the name Shawn mean ?,what
other Where is the Danube ?,unknown
"ind What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?",unknown
animal What do you call a group of geese ?,what
"ind Who delivered his last newscast on March 6 , 1981 ?",who
"count How many times has `` Louie , Louie '' been recorded ?",unknown
manner How is Answers.com different from KnowPost.com ?,unknown
other What is the longest place name in the U.S. ?,what
perc What percent liked Thatcher after she had been in power for a decade ?,what
"other Where does Buzz Aldrin want to build a permanent , manned space station ?",unknown
cremat What was Mel Gibson 's first movie ?,what
reason Why was the L.A. office of Shea and Gould closed ?,unknown
manner How do I start a bank ?,unknown
manner How do Ouija Boards work ?,unknown
animal What horse did Zorro ride ?,what
manner How do you get a broken cork out of a bottle ?,unknown
other Where can I find correct tabs for Third Eye Blind songs ?,unknown
manner How do you determine heating requirements for your home ?,unknown
ind What former major-league left-handed baseball pitcher was known as `` Space Man '' ?,what
"product Which hair care product told us `` hate that gray , wash it away '' ?",unknown
reason Why did the chicken cross the road ?,unknown
ind What was Michelangelo 's last name ?,what
desc Who is Barbara Jordan ?,who
ind Who was the Democratic nominee in the American presidential election ?,who
cremat What was Connecticut 's first constitution called ?,what
event What historical event happened in Dogtown in 1899 ?,what
def What is being done about the millennium bug ?,what
reason What was the claim to fame of King Camp Gillette ?,what
dismed What is the most common kind of skin cancer in the U.S. ?,what
def What is Olestra ?,what
country What Asian country has a bill of rights for cows ?,what
count How many fingers are used to draw a bow ?,unknown
plant What are two plants that clothes are made from ?,what
date When was Hurricane Hugo ?,when
food What is the most heavily caffeinated soft drink ?,what
ind What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?,what
money What was the price of Varian Associates ' vacuum products division ?,what
date When was `` the Great Depression '' ?,when
lang What language is mostly spoken in Brazil ?,what
gr What college produced the most winning Super Bowl quarterbacks ?,what
manner How do you solve `` Rubik 's Cube '' ?,unknown
def What is prepared mustard ?,what
ind What classical Spanish writer warned ,what
def What does `` antidisestablishmentarianism '' mean ?,what
ind What actor married John F. Kennedy 's sister ?,what
dismed What does a topophobic actor suffer from ?,what
ind Who fired Maria Ybarra from her position in San Diego council ?,who
"period The italian artist , Maurizio Pellegrin , is how old ?",unknown
other What type of hunting are retrievers used for ?,what
reason What is Colin Powell best known for ?,what
ind Who was the first black golfer to tee off in the Masters ?,who
city What city is the setting for Puccini 's opera La Boheme ?,what
ind What U.S. President showed a fondness for munching on bee pollen bars ?,what
def What is measured in curies ?,what
ind Whose cover is that of an employee of Universal Import and Export ?,unknown
ind What former president 's daughter has written a book titled Murder in the White House ?,what
ind What fictional character is known as the `` melancholy Dane '' ?,what
product Italy is the largest producer of what ?,what
ind What longtime game show host dropped dead while jogging in Central Park in 1984 ?,what
"def What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''",what
ind Who were the `` filthiest people alive ? '',who
dismed What infectious disease is the world 's deadliest ?,what
def What is Spumante ?,what
date In what year did Ireland elect its first woman president ?,what
def What is an isthmus ?,what
animal What was the name of the orca that died of a fungal infection ?,what
other Where is Mozambique located ?,unknown
animal What is Mississippi 's state animal ?,what
desc What 's the origin of the word ` news ' ?,what
other What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?,what
count How many months does a normal human pregnancy last ?,unknown
manner How do fuel injectors work ?,unknown
manner How can your school march in the Macy 's Thanksgiving Parade ?,unknown
ind What is the real name of disc jockey `` Wolfman Jack '' ?,what
veh What Italian liner was hijacked in 1985 ?,what
city What city houses the U.S. headquarters of Procter and Gamble ?,what
product What soap was touted as being `` for people who like people '' ?,what
money How much was the minimum wage in 1991 ?,unknown
exp What does NAFTA stand for ?,what
ind Who invented silly putty ?,who
"gr What new middle school was built in Philadelphia , Pennsylvania last year ?",what
ind Who patented the first phonograph ?,who
techmeth What are some tips for building a fire in a fireplace ?,what
food What do manatees eat ?,what
termeq How do you say 2 in Latin ?,unknown
cremat What were popular songs and types of songs in the 1920s ?,what
count How many Vietnamese were there in the Soviet Union ?,unknown
other What is November 's birthstone ?,what
def What is a Certified Nurse Midwife ?,what
"count On average , how many miles are there to the moon ?",unknown
ind Who created private detective Philip Marlowe ?,who
"cremat What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?",what
desc What is the origin of the expression `` tout de suite '' ?,what
word What is the longest English word ?,what
reason What is the purpose of a car bra ?,what
reason What is D.B. Cooper known for ?,what
desc Who is Colin Powell ?,who
animal What species is a colt ?,what
exp What is the full name of the PLO ?,what
country What is the smallest country in Africa ?,what
ind Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?,who
event What age followed the Bronze Age ?,what
title What is her profession ?,what
ind What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?,what
exp What does the word LASER mean ?,what
def What does the name `` Anthony '' mean ?,what
ind Who was Lauren Bacall 's first husband ?,who
def What is a rhomboideus minor ?,what
count How many hands does Bjorn Borg use when hitting his forehand ?,unknown
count How many people died on D-Day ?,unknown
ind What U.S. Congressman said ,what
ind Who created the character of Scrooge ?,who
other What is the student population at the University of Massachusetts in Amherst ?,what
other Where is Windsor Castle ?,unknown
date When did the Dow first reach ?,when
reason Why were people recruited for the Vietnam War ?,unknown
gr What party was Winston Churchill a member of ?,what
gr What American League baseball team 's worst finish between 1926 and 1964 was fourth ?,what
other Where can I find the names of all the 15 Pokemon ?,unknown
state What state does Martha Stewart live in ?,what
animal Which killer whale died at Sea World of a fungal infection ?,unknown
country What are the Benelux countries ?,what
other Where 's the Petrified Forest ?,unknown
lang What is a language spoken by the Sioux ?,what
other Where is Tornado Alley ?,unknown
ind Who was the author of `` John Brown 's Body '' ?,who
ind What American poet wrote ,what
state What state in the U.S. has the most blacks ?,what
reason Why are electric cars less efficient in the northeast than in California ?,unknown
title What was the occupation of Mandy Rice-Davies ?,what
city What is the city in which Maurizio Pellegrin lives called ?,what
ind Who painted the Sistine Chapel ?,who
ind Name the various costumed personas of Dr. Henry Pym .,unknown
animal What breed of dog was the `` Little Rascals '' dog ?,what
desc What are the living conditions in Cuba ?,what
color What color are school buses ?,what
other What is the oldest website on the Internet ?,what
"event What events happened January 26 , 1978 ?",what
ind What explorers followed Columbus to the Americas ?,what
ind Who is actress Goldie Hawn 's current actor boyfriend ?,who
ind Who banned Peter Rose from baseball for betting on games ?,who
def What are the seven virtues ?,what
termeq What other name were the `` Little Rascals '' known as ?,what
date When was the San Francisco fire ?,when
dismed What is a fear of food ?,what
"count How many casinos are in Atlantic City , NJ ?",unknown
date What year did the Vietnam War end ?,what
ind What are the names of Richard Nixon 's two daughters ?,what
word What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?,what
count What is the chromosome number of an elephant ?,what
gr What organization was founded by the Rev. Jerry Falwell ?,what
other What 's the longest river in the world ?,what
food Which soft drink does Madonna advertise for ?,unknown
gr What company is being bought by Yahoo and how much is the deal worth ?,what
date When was Berlin 's Brandenburg gate erected ?,when
count How many double-word-score spaces are there on a Scrabble Crossword Game board ?,unknown
date What year did Germany sign its nonaggression pact with the Soviet Union ?,what
mount What mountain range is traversed by the highest railroad in the world ?,what
reason Why were the American soldiers in WWI called `` Doughboys '',unknown
ind Who was nicknamed The Little Corporal ?,who
count How many CDs has Garth Brooks sold ?,unknown
veh Name the vessel used by the Atari Force in the DC comics .,unknown
other Where are the leading medical groups specializing in lung diseases ?,unknown
"manner How can I find online spelling , and punctuation drills for my 6th grader ?",unknown
other What 's the sacred river of India ?,what
country What is Stefan Edberg 's native country ?,what
body What is the only gland in humans that can regenerate itself ?,what
count How many Gutenberg Bibles are there ?,unknown
country Name the largest country in South America .,unknown
event What astronomical phenomenon takes place in Jan. 1999 ?,what
desc What information can you get me on Fairground Park in St. Louis,what
ind What was American folk hero John Chapman 's nickname ?,what
desc What is the difference between a median and a mean ?,what
cremat What was the top box office movie in April 1998 ?,what
reason What makes thunder ?,what
ind What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?,what
"other Which is the largest clock , diameter wise , in Europe ?",unknown
plant What plant is rum made from ?,what
country What country are Godiva chocolates from ?,what
ind Name the poet of the poem which begins ,unknown
food Which condiment was once sold as a patent medicine ?,unknown
state What U.S. state records the least rainfall ?,what
reason Why did the world enter a global depression in 1929 ?,unknown
"def What was archy , and mehitabel ?",what
city What Texas city got its name from the Spanish for `` yellow '' ?,what
substance What are the chemicals used in glowsticks ?,what
country What country did the Nile River originate in ?,what
color What color are tennis balls ?,what
ind What barroom judge called himself The Law West of the Pecos ?,what
desc What excuse did the NATO people give for hitting the Chinese embassy ?,what
ind Who was President of Costa Rica in 1994 ?,who
sport What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?,what
country What country has the best defensive position in the board game Diplomacy ?,what
country What two countries share the Khyber Pass ?,what
ind Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?,who
desc What is the origin of the surname of Braun ?,what
"sport What card game has variations called Canfield , Klondike and Spider ?",what
def What is Australia Day ?,what
animal What mammal of North America is the world 's longest-lived for its size ?,what
def What was the Chivington Massacre ?,what
"ind What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?",what
count How many home runs did Lou Gehrig have during his career ?,unknown
city In what city is the headquarters of Sinn Fein ?,what
other Where can I find information on George Bush ?,unknown
ind Who is the voice of Miss Piggy ?,who
termeq What is the dialogue circle in cartoons called ?,what
"def What does the word camaro mean , from the GM car the Camaro ?",what
ind Who replaced Bert Parks as the host of The Miss America Pageant ?,who
count How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?,unknown
def What is the AIM-54C Phoenix ?,what
date When are sheep shorn ?,when
sport What sport is Chris Jogis a top player of ?,what
other What 's the second-largest island in the world ?,what
def What is the definition of low island ?,what
date What century does Captain Video live in ?,what
other What types of water pollution are there ?,what
count How many astronauts manned each Project Mercury flight ?,unknown
food What soft drink would provide me with the biggest intake of caffeine ?,what
other What 's the name of a golf course in Myrtle Beach ?,what
event What are some of the significant historical events of the 1990s ?,what
cremat Name the only extant trilogy of classical Greek plays .,unknown
other Where is Logan Airport ?,unknown
desc What is the difference between Neoclassical art and Romanticism art ?,what
ind Who was the first person inducted into the U.S. Swimming Hall of Fame ?,who
ind What golfer has been called Ohio Fats and Blobbo ?,what
ind Who murdered Leno and Rosemary LaBianca on August 1,who
money What is the average cost for four years of medical school ?,what
other What does God create in the first sentence of the Bible ?,what
ind Which of the following men was not married to Rita Hayworth ?,unknown
money What is the current ticket fare from from Cairo to Barbados ?,what
exp What does NN O `` mean when used as a prefix in Irish surnames ?,what
manner How do you find oxidation numbers ?,unknown
state What is the state nickname of Mississippi ?,what
"reason What is Black Hills , South Dakota most famous for ?",what
cremat What 1966 boob tube bomb took astronauts back to prehistoric times ?,what
count How many students attend the University of Massachusetts ?,unknown
"ind Who said , `` I shall return . '' during World War Two ?",who
event What holidays are celebrated in Ireland ?,what
"ind Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?",who
def What are the Greek numerals ?,what
other What 's the name of the temple that is located near the capital city of Laos ?,what
dismed What is a fear of sleep ?,what
sport What auto race was Wilbur Reed the first to win three times ?,what
animal What are the most common breeding birds in the U.S. ?,what
"event What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?",what
manner How do you look up criminal records on the Internet ?,unknown
"other Where is the actress , Marion Davies , buried ?",unknown
desc What is an example of an actual case of using the Fourteenth Amendment ?,what
ind Who was the Charlie perfume woman ?,who
ind Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?,who
